,x,y,z
1,0.430800456,0.989123521,-0.000453504
2,-0.392295635,1,-0.015263338
3,0.612453906,0.325475954,-0.167015317
4,-0.581098125,0.307238313,-0.161955345
5,0.244921725,0.537920185,0.961600551
6,-0.219875522,0.541328956,0.945868616
7,0.640496522,0.540578428,0.68162811
8,-0.608217674,0.538106406,0.667373831
9,0.846746573,0.662878927,-0.011327001
10,-0.796512824,0.672709515,0.007677598
11,0.852333602,0.497670115,0.156487562
12,-0.811602512,0.485619897,0.14052454
13,0.565860996,0.146888679,0.82677911
14,-0.537913698,0.133097483,0.811694253
15,0.665063033,0.464742373,-0.748732676
16,-0.647403563,0.4399239,-0.748406944
17,0.937889137,0.28114203,-0.364404944
18,-0.901056284,0.239081866,-0.321025766
19,1,-0.029616116,-0.132499815
20,-1,-0.098977736,-0.088586377
21,0.944162526,0.270989557,-0.647682585
22,-0.922013082,0.235083267,-0.600929618
23,0.995702844,-0.010060788,-0.403596509
24,-0.977641414,-0.074751485,-0.38081667
25,0.948887704,-0.367324393,-0.132024878
26,-0.924796987,-0.417873413,-0.147301018
27,0.755529883,0.259108619,-0.975606753
28,-0.771146469,0.224788801,-0.937781646
29,0.871895373,-0.022627809,-0.719345556
30,-0.856905468,-0.08945011,-0.676953173
31,0.88353861,-0.376095388,-0.494089904
32,-0.830611371,-0.423811025,-0.4901863
33,0.616335772,-0.061585604,0.876246283
34,-0.613721503,-0.081456567,0.857075627
35,0.48021139,-0.347982999,1
36,-0.466349567,-0.370623474,0.971679602
37,0.952678654,-0.070799067,0.583378217
38,-0.911217121,-0.146913783,0.571178759
39,0.900819997,-0.248808277,0.500260196
40,-0.880202521,-0.324597536,0.49309495
41,0.847812292,-0.40185136,0.475590821
42,-0.806908685,-0.454071639,0.424366685
43,0.541020505,-0.66034021,0.605352864
44,-0.509377413,-0.684086966,0.586531526
45,0.74434492,-0.698158028,-0.194745352
46,-0.722401123,-0.719563274,-0.201121782
47,0.196364587,-0.693213903,0.000712208
48,-0.157304444,-0.712615822,-0.004718693
49,0.011021976,0.869288167,-0.529291123
50,0.103458474,0.254091844,0.973105263
51,-0.079212891,0.254169605,0.944196419
52,0.006465042,0.566159527,-0.456592938
53,0.113707866,0.780695726,0.284732302
54,-0.092761584,0.781843598,0.2470982
55,0.020653341,0.536158559,0.317342148
56,0.020363313,-0.198705873,0.428559889
57,0.023162733,-0.502018672,0.587621104
58,0.150823354,-0.759808313,0.387307597
59,-0.125290809,-0.783031295,0.372613286
60,0.478654832,0.600082523,-0.48422586
61,-0.470260067,0.607999482,-0.490965674
62,0.369370436,0.183614588,-0.761275388
63,-0.346100382,0.16946547,-0.762170938
64,0.378149106,-0.117243907,-0.494648343
65,-0.3465539,-0.142559887,-0.497149794
66,0.227120477,-0.558269291,-0.261520432
67,-0.19085571,-0.587422124,-0.27101732
68,0.510078898,0.253793525,-1
69,-0.50810988,0.23202376,-0.991355598
70,0.594567888,-0.031737617,-0.713339997
71,-0.574180973,-0.103822582,-0.659022249
72,0.574708858,-0.378544849,-0.492267257
73,-0.534251521,-0.42698773,-0.479148327
74,0.448643167,-0.717608015,-0.406714437
75,-0.422259933,-0.733329005,-0.432012162
76,0.672860317,0.540614652,-0.066512958
77,-0.634632227,0.536590736,-0.074165152
78,0.807369402,0.214134245,0.056324092
79,-0.768689509,0.175937683,0.069780053
80,0.798783307,-0.078528147,0.262073696
81,-0.774612414,-0.134906748,0.240618514
82,0.784198354,0.24338708,-0.305547123
83,-0.746376366,0.211443752,-0.308533368
84,0.753632111,0.058455628,-0.025940852
85,-0.723498097,0.019419857,-0.021502988
86,0.896889033,-0.044143535,0.074783507
87,-0.844872792,-0.106161804,0.049549727
88,0.140575322,-0.705439047,0.114596607
89,-0.127617929,-0.688870551,0.128713474
90,0.294471801,-0.981709863,0.000584989
91,-0.264977069,-1,-0.030483829
92,0.183088257,0.046186632,-0.032721972
93,-0.153996488,0.034107496,-0.039230481
94,0.22285134,0.425318906,0.043652304
95,-0.199169669,0.411484715,0.028774751
96,0.4201217,0.315123009,-0.157587946
97,-0.395175036,0.297815613,-0.156874809
98,0.328796023,0.237761396,-0.187072455
99,-0.299021422,0.222837703,-0.189932706
100,0.43632043,0.010889894,-0.445086349
101,-0.399643997,-0.018987226,-0.436311567
102,0.381162246,0.238027545,-0.512979256
103,-0.364333147,0.225161964,-0.513864336
104,0.159220772,0.454662242,-0.292666669
105,-0.145434546,0.445201632,-0.305230479
